"File","SupportedVersion"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\pdx_67227.mod","1.37.5"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\RIP.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1117289016.mod","1.22.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1146057850.mod","1.33.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1367580240.mod","1.25.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1372752148.mod","1.25.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1375379791.mod","1.29.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1385440355.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1398431976.mod","1.28.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1515361901.mod","1.26.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1592328478.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1671760362.mod","v1.37.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1741746241.mod","v1.37.0.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1770912333.mod","1.28.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1908400374.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_1991050023.mod","1.29.4"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2093032230.mod","1.29.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2164202838.mod","v1.37.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_217416366.mod","v1.37.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2185445645.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2198012132.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2427277538.mod","1.31.5"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2481053190.mod","1.32.2"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2525861504.mod","1.31.4"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2552285825.mod","v1.37."
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2563577714.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2664819806.mod","v1.37.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2776989437.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2796557277.mod","1.33.3"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2841995902.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2847408826.mod","1.33.3"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_2928554419.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_3288644137.mod","v1.37.5.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_338680004.mod","1.8.1"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_343567353.mod","1.15.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_381103735.mod","1.36*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_466742827.mod","1.24.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_548930956.mod","1.14.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_632273228.mod","v1.37.5"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_675111977.mod","1.16.3.0"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_684459310.mod","v1.37.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_810765833.mod","1.19.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_833484004.mod","1.19.*.*"
"C:\Users\grigo\Documents\Paradox Interactive\Europa Universalis IV\mod\ugc_842777217.mod","1.19.*.*"
